Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-73.86593481799997 40.572532273000036, -73.86435529499994 40.57305972100005))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Queens,Rabbi Joseph Weiss Avenue,Newport Avenue,Male,"Rabbi Joseph Weiss was born on April 13, 1913 and for over 52 years led the Congregation of West End Temple.  During his years of service, Rabbi Weiss was inspired and devoted to the congregants and the community.  In addition to his leadership in the Te",Between Beach 147th Street and Beach 149th Street,11694,Addabbo,
"MULTILINESTRING ((-73.84379955599996 40.856213152000066, -73.84075256699998 40.855758722000076))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Bronx,Police Officer Manuel (Manny) Vargas Way,Rhinelander Avenue,Male,"Manny Vargas was a highly decorated 23-year veteran of the NYPD.  He was appointed to the NYPD on February 28, 1994.  After graduating, the Police Academy Officer, he was assigned to the 24th Precinct in Manhattan.  He was later transferred to the 49",Between Eastchester Road and Stillwell Avenue,10461,Gjonaj,
"MULTILINESTRING ((-73.89476434899996 40.704127338000035, -73.89414922899994 40.70262354700003))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Patrolman Charles J. Reynolds Way,62nd Street,Male,Charles J. Reynolds served with the NYPD and was assigned to the 116th Precinct. He was killed in the line of duty when he was shot and killed after arresting several men in a taxicab.,Between Catalpa Avenue and Cypress Hills Street,11385,Holden,
"MULTILINESTRING ((-73.91895753999995 40.75903346300004, -73.91716045999993 40.76126013800007))",Int. No. 980,12/18/2001,2001,2001/068,Street,Queens,Bob Stern Way,Steinway Street,Male,"Robert H. “Bob” Stern owned and operated “Sig Stern Inc.” which, for over 50 years, was the most popular children’s store on Steinway Street.  Mr. Stern closed his store in 1975 and embarked on a successful second career as a real estate broker",between 31st Avenue and Broadway,11103,"Vallone, Dear, Foster, Koslowitz, Marshall, O’Donovan, Povman,  Abel and Golden",
"MULTILINESTRING ((-73.89599355599995 40.819002821000026, -73.89511915599996 40.81982287000005))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Bronx,Msgr. William Smith Way,Beck Street,Male,"Msgr. William Smith was assigned to St. John Chrysostom Church.  While at St. John’s, he co-founded the Mid Bronx Desperadoes (MBD), a coalition of volunteers who were determined to save their community from the overwhelming incidents of arson, disinve",Between Intervale Avenue and Tiffany Street,10459,Salamanca,
"MULTILINESTRING ((-73.98261339199996 40.665657338000074, -73.98302913399993 40.66515480900006))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Brooklyn,Pete Hamill Way,7th Avenue,Male,"Pete Hamill was born in Park slope to Irish immigrants, and was the editor of three New York daily newspapers, working for over 40 years covering events and issues like conflicts in Vietnam, Lebanon, Nicaragua, and Northern Ireland as well as racial and",Between 11th Street and 12th Street,11215,Lander,
"MULTILINESTRING ((-73.99141299799999 40.72702634600006, -73.98956763799998 40.726247837000074))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Ellen Stewart Way,East 4th Street,Female,"Ellen Stewart was the first African-American fashion designer for Saks Fifth Avenue and founder and artistic director of La MaMa Experimental Theatre Club at 74A East 4th Street.  She moved to New York City in the late 1940’s and later, with an appreci",Between Bowery and 2nd Avenue,10003,Mendez,
"MULTILINESTRING ((-73.91638379299997 40.65775936700004, -73.91477714899997 40.65632687800007))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Horace L. Morancie Way,Rockaway Parkway,Male,"Horace L. Morancie co-founded and was the former Chair of the Urban Resource Institute (URINYC).  He fought to provide vital social services to city residents and developed programs to address several community issues including housing, job training and",Between Wilmohr Street and Church Avenue,11212,Barron,
"MULTILINESTRING ((-74.01842550099997 40.64362676400003, -74.01679471799997 40.642637652000076))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Brooklyn,Sandra Santos-Vizcaino Street,57th Street,Female,Sandra Santos-Vizcaino was a long-time resident of Sunset Park who began her teaching career in 1995. She was an active member of numerous educational organizations including the Association of Dominican American Supervisors and Administrators and receiv,Between 3rd Avenue and 4th Avenue,11220,Avilés,
"MULTILINESTRING ((-73.95737632799995 40.729190172000074, -73.95413353799995 40.729493027000046))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Christine Zounek Way,Milton Street,Female,"Christine Zounek was a long-time resident of Milton Street and a community leader who cared deeply for all of her neighbors.  In 2008, she became the first volunteer at the Greenpoint Reformed Church Food Pantry and Soup Kitchen at 136 Milton Street, and",Between Franklin Street and Manhattan Avenue,11222,Levin,
"MULTILINESTRING ((-73.92478637099998 40.73151315900003, -73.92529777899995 40.73042372300006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Patrolman Joseph L. Rauchut Way,43rd Street,Male,"Patrolman Joseph L. Rauchut was assigned to Motorcycle Precinct 2, the present day Highway 2. He was killed in the line of duty when he was struck by a vehicle while conducting a vehicle stop.",Between 54th Road and 55th Avenue,11378,Holden,
"MULTILINESTRING ((-73.86938168399996 40.67316606500003, -73.86859579699995 40.67328405400008))",Int. No.1000,12/18/2001,2001,2001/068,Street,Brooklyn,The Greater Bright Light Place,Sutter Avenue,Group,"The following information is excerpted from material by Community Board No. 5 in Brooklyn. 

The Greater Bright Light Baptist Church was organized in 1974 and, since 1990, it has been located at 1320 Sutter Avenue in Brooklyn.  Providing outreach to the",between Hemlock Street and Crescent Street,11208,Wooten,
"MULTILINESTRING ((-73.94464832299997 40.787388942000064, -73.94253796099997 40.786499443000025))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,Edwin G. Suarez Way,East 101st,Male,Edwin G. Suarez was born and raised in East Harlem and worked tirelessly much of his life to safeguard the community of East Harlem. He served as the District Leader of the 68th Assembly District.  He was also appointed Special Legislative Assistant to C,Between 2nd Avenue and the FDR Drive,10029,Mark-Viverito,
"MULTILINESTRING ((-73.92128069599994 40.621739330000025, -73.92046411299998 40.621786833000044))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,Avenue M – Mary Queen of Heaven Way,Avenue M,Group,"On April 17, 1927, Archbishop Molloy designated Father Crawford to form Mary Queen of Heaven Parish.  With the completion of the church’s lower level, the first Mass was celebrated in the new Church on December 27, 1927.  Father Crawford's dream of an",between East 56th Street and East 57th Street,11234,Fidler,
"MULTILINESTRING ((-73.94242258099996 40.842228367000075, -73.94280613699993 40.84240185700003, -73.94301534899995 40.84261288500005, -73.94305264199994 40.842945643000064, -73.94296278799999 40.84312826200005))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Joe Hintersteiner Place,Haven Avenue,Male,"Joe Hintersteiner was a prolific watercolorist and beloved teacher, who devoted most of his later life to promoting the arts and to community improvement in Washington Heights and Inwood.  He was a diligent long serving member of Community Board 12, Manh",Between West 168th Street and West 169th Street,10032,Jackson,
"MULTILINESTRING ((-74.24341455799998 40.509122957000045, -74.24318120499998 40.508464263000064))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Staten Island,Gina Alexa Morales Way,Yetman Avenue,Female,Gina Alexa Morales was a student at P.S. 1 in Tottenville.  She was diagnosed with asthma at the age of two and died as a result of a mucous plug that blocked her airways and caused a massive heart attack from the lack of oxygenated blood flow.  Being an,Between Summit Street and Academy Avenue,10307,Ignizio,
"MULTILINESTRING ((-73.88686627999994 40.69668255400006, -73.88621062899995 40.69631199000003, -73.88582915899997 40.695593452000026, -73.88510198199998 40.69482067600006, -73.88480991999995 40.694391352000025, -73.88458938299993 40.69388519800003, -73.88323635699999 40.69278701200005, -73.88272057499995 40.69236837200003))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Patrolman Henry E.A. Meyer Way,Cypress Hills Street,Male,"Henry E.A. Meyer served with the NYPD and was assigned to the 54th Precinct, modern day 104th Precinct. He was killed in the line of duty while trying to apprehend two men for robbery.",Between 80th Avenue and Cypress Avenue,11385,Holden,
"MULTILINESTRING ((-73.94169242099997 40.81779454000008, -73.93913538199996 40.81671042800008))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,Billie Holiday Place,139th Street,Female,"Billie Holiday was an American singer, who began her musical career in Harlem, known equally for her difficult life and her emotive, poignant singing voice.  She is generally considered one of the greatest jazz voices of all time.  She is often cited as",Between Malcolm X Boulevard and Adam Clayton Powell Jr.  Boulevard,10037,Dickens,
"MULTILINESTRING ((-73.89038665899994 40.722483399000055, -73.88889654199994 40.72060869000006))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Joseph Schmidt Way,69th Lane,Male,"Joseph Schmidt served in the United States Military during WWII. He was assigned to the 1st Infantry Division, the Big Red One and was shipped to Tunisia, North Africa for his first campaign of heavy fighting where he was awarded the Bronze Star Medal fo",Between Eliot Avenue and 60th Avenue,11378,Holden,
"MULTILINESTRING ((-73.90090467999994 40.86270734800007, -73.89932461499995 40.862161495000066, -73.89763726099994 40.86243073400004, -73.89685698199997 40.862452863000044, -73.89447713199996 40.862036096000054, -73.89272150399995 40.861836932000074, -73.89197117499998 40.86185821200007, -73.89143163499995 40.86163269900004, -73.89035140699997 40.86108821700003))",Int. No. 565,10/20/2003,2003,2003/062,Street,Bronx,Celia Cruz Boulevard,Fordham Road,Female,"(The following biographical information was provided by the “All Music Guide” and “Thomson Gale” websites.) 

Celia Cruz was one of Latin music's most respected vocalists. A ten-time Grammy nominee, Cruz, who sang only in her native Spanish langu",between Third Avenue and Jerome Avenue,10468,Rivera and Miller,
"MULTILINESTRING ((-73.93788345799999 40.803755814000056, -73.93734969799993 40.80448265900003, -73.93683302699998 40.805186227000036, -73.93632964499994 40.80587169000006, -73.93574305499999 40.80669359900003, -73.93547729499994 40.80706597000005, -73.93469141999998 40.80813607600004))",Int. No. 771,12/04/2001,2001,2001/060,Street,Manhattan,Alice Kornegay Way,Lexington Avenue,Female,"The following biographical information was provided by the Abyssinian Baptist Church and the Community Association of the East Harlem Triangle, Inc.   

Alice Grace Wragg Kornegay was born in May of 1930 in Georgetown, South Carolina and came to Harlem a",between East 124 th Street and East 131st Street,10035,"Perkins, Reed, and O’Donovan",
"MULTILINESTRING ((-73.98663907999997 40.66098154100007, -73.98618578699995 40.66142509600007))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Ms. Marion Dombkowski Way,7th Avenue,Female,"Marion Dombkowski was born in Garfield, New Jersey and was the youngest of four children. She later married, raised two children and moved to Brooklyn. She was an exemplary woman whose service as a crossing guard at IS 88 for 28 years kept many students",Between Prospect Avenue and 17th Street,11215,Gonzalez,
"MULTILINESTRING ((-74.07457706199995 40.613072275000036, -74.07436844599994 40.61279626600003))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Staten Island,Mt. Carmel Way,White Plains Avenue,Group,"The Society of Our Lady of Mount Carmel was founded in 1903 as a self-help organization open to immigrant Italians, irrespective of their towns of origin or native regional affiliations in the old country.  It was under the tenure of the society's first",Between St. Mary’s Avenue and Amity Street,10305,McMahon,
"MULTILINESTRING ((-73.88546588499997 40.84167450600006, -73.88580384399995 40.840022763000036))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Bronx,Bishop Francisco Garmendia Place,Crotona Parkway,Male,Bishop Francisco Garmendia was the first Hispanic bishop to serve the archdiocese of New York and was pastor of St. Thomas Aquinas parish in the Bronx for a quarter century.  He was ordained to the episcopacy by Cardinal Terence Cooke in St. Patrick’s,Between Elsmere Place and East 176th Street,10460,Rivera,
